area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Aguascalientes_Aguascalientes,3,0,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,10
Mexico_Aguascalientes_Asientos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Aguascalientes_Calvillo,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
Mexico_Aguascalientes_Cosío,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Aguascalientes_Jesús María,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Aguascalientes_Pabellón de Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Aguascalientes_Rincón de Romos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Aguascalientes_San José de Gracia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Aguascalientes_Tepezalá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Baja California Sur_Comondú,20,4,5,16,2,5,1,4,4,1,0,3,0,0,0,0,0,65
Mexico_Baja California Sur_La Paz,480,4,26,82,5,15,3,4,3,14,61,47,2,4,0,0,0,750
Mexico_Baja California Sur_Mulegé,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Baja California_Ensenada,42,280,562,"1,197",776,838,851,680,"4,067",274,43,88,116,133,199,30,272,"10,447"
Mexico_Baja California_Mexicali,3,3,5,59,3,26,60,7,3,75,5,2,2,3,28,1,14,298
Mexico_Baja California_Mulegé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Baja California_Tecate,2,83,101,23,3,233,92,15,23,17,5,10,10,0,1,0,34,652
Mexico_Baja California_Tijuana,3,248,25,88,147,426,171,464,120,40,11,8,2,93,8,0,0,"1,854"
Mexico_Campeche_Calkiní,461,453,"1,029",627,316,711,360,316,"1,337",461,148,356,537,280,443,389,227,"8,452"
Mexico_Campeche_Campeche,"1,092","2,320","1,704","1,388","1,369","1,015","2,394","1,477","3,925","1,347",735,"2,933","2,295","1,301","1,365","1,604","1,782","30,047"
Mexico_Campeche_Carmen,"8,065","8,353","19,967","6,496","19,588","6,501","11,638","9,471","13,647","6,830","4,929","9,739","12,584","10,715","14,599","26,278","23,721","213,121"
Mexico_Campeche_Champotón,"7,075","6,507","9,319","7,710","6,884","6,042","9,637","9,571","16,634","6,170","4,975","7,241","13,670","7,646","8,125","19,685","18,895","165,787"
Mexico_Campeche_Hecelchakán,287,191,401,663,260,597,262,544,640,326,73,562,548,293,124,283,821,"6,874"
Mexico_Campeche_Hopelchén,"4,659","5,093","6,338","9,935","5,481","9,440","12,110","9,566","18,029","5,208","5,143","11,798","12,252","6,167","16,241","6,897","23,261","167,619"
Mexico_Campeche_Palizada,54,54,119,57,281,28,152,40,117,19,29,69,609,296,181,913,679,"3,697"
Mexico_Campeche_Tenabo,776,308,156,645,566,301,"1,151",853,655,299,267,397,257,417,234,375,"1,309","8,966"
Mexico_Chiapas_Acacoyagua,22,39,16,27,116,110,40,79,58,38,18,51,60,40,20,103,112,953
Mexico_Chiapas_Acala,25,55,75,95,19,13,87,9,7,43,20,7,8,10,4,5,1,483
Mexico_Chiapas_Acapetahua,50,65,33,112,66,58,65,166,98,64,51,98,152,72,55,91,77,"1,373"
Mexico_Chiapas_Altamirano,259,183,190,288,128,446,201,361,489,338,294,459,532,692,821,"2,277","1,267","9,225"
Mexico_Chiapas_Amatenango de la Frontera,11,22,22,53,26,30,23,33,27,25,81,43,27,4,14,19,29,489
Mexico_Chiapas_Amatenango del Valle,49,80,71,72,123,73,65,34,142,41,19,34,21,26,31,81,132,"1,093"
Mexico_Chiapas_Amatán,43,56,31,76,72,38,82,59,66,50,110,92,240,227,182,591,282,"2,298"
