state,mun,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Campeche,Carmen,8065,8353,19967,6496,19588,6501,11638,9471,13647,6830,4929,9739,12584,10715,14599,26278,23721.0,213121
Campeche,Hopelchén,4659,5093,6338,9935,5481,9440,12110,9566,18029,5208,5143,11798,12252,6167,16241,6897,23261.0,167619
Campeche,Champotón,7075,6507,9319,7710,6884,6042,9637,9571,16634,6170,4975,7241,13670,7646,8125,19685,18895.0,165787
Chiapas,Ocosingo,5443,3695,7313,5774,8147,6242,12290,8391,12214,10749,6345,9491,10212,10104,10086,20201,14496.0,161191
Quintana Roo,Othón P. Blanco,3991,7894,5899,6382,7935,3497,9345,11959,12968,9988,13072,8446,12913,7194,7345,9452,19792.0,158072
Quintana Roo,Felipe Carrillo Puerto,4751,12139,5734,5145,6333,2540,4469,5619,8298,4422,10008,4771,5259,4435,5867,4204,6579.0,100573
Oaxaca,Dist. Juchitan,4976,3552,3412,4886,8066,4187,8046,5600,4549,3354,4737,3269,4042,3996,2684,6021,5358.0,80735
Quintana Roo,José María Morelos,3059,6067,5864,2434,4889,1738,2962,5524,7531,1943,3794,1792,4624,1592,8988,1494,4411.0,68706
Quintana Roo,Lázaro Cárdenas,1001,1575,1134,910,1203,18275,423,1499,9839,641,8463,801,1316,1043,3828,1209,2885.0,56046
Oaxaca,Dist. Mixe,2202,1949,1651,1765,3425,2564,3261,3033,2576,2082,3057,2501,3365,2311,1883,4541,5784.0,47952
Veracruz,Las Choapas,1961,2961,1855,2309,4779,2075,5668,2271,2809,1678,3192,1087,3174,2477,2854,3023,3207.0,47380
Yucatán,Tizimín,1882,4147,2365,1285,3185,2316,1839,1929,2643,1830,2285,2940,2349,1860,1799,3710,3950.0,42312
Chiapas,Las Margaritas,1463,1356,2967,1408,1724,1998,2021,2373,3451,2170,1876,2280,3034,2375,2340,5802,3377.0,42017
Chiapas,Palenque,1075,1003,1093,1556,1841,911,1976,1452,2119,1569,990,1587,2932,2952,2757,3930,4431.0,34173
Tamaulipas,Soto La Marina,1636,3314,678,1931,2388,2474,1584,2142,3858,1525,1519,1460,2551,830,457,1333,1559.0,31241
Campeche,Campeche,1092,2320,1704,1388,1369,1015,2394,1477,3925,1347,735,2933,2295,1301,1365,1604,1782.0,30047
Tabasco,Huimanguillo,624,1226,1097,1478,2192,524,2567,1138,1180,956,1675,1044,2002,2834,2674,2557,2883.0,28653
Quintana Roo,Cozumel,871,1266,1023,1130,1702,799,1287,2036,4199,701,1019,912,2568,1003,5528,1219,1202.0,28464
Yucatán,Yaxcabá,3093,2134,936,2694,2039,1321,1509,847,3057,1640,586,943,834,1327,855,1368,1333.0,26517
Oaxaca,Choapam,994,1305,699,471,1541,832,1282,1117,1820,1242,2975,749,1729,1362,1783,2654,3263.0,25819
Chiapas,Chilón,650,516,494,933,590,710,1046,1473,1549,1196,1057,1478,2004,2112,2259,3820,3883.0,25770
Veracruz,Minatitlán,1763,1635,1579,1243,3560,983,3895,1361,1214,760,1285,700,866,961,791,1308,1384.0,25289
Veracruz,Tantoyuca,1457,881,464,1989,2380,1903,2419,829,1260,1051,1298,1916,1605,1236,881,901,970.0,23438
Tabasco,Tenosique,335,623,1179,1364,2343,1088,1672,1421,1464,581,548,1135,1356,1210,1113,2541,2659.0,22630
