Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,53.000,0.000,43.30,2295.000,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,76119.339,1.500,22.74,1731122.127,50746226
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3726.940,0.000,13.35,49748.330,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,101492.452,2.000,16.30,1654415.352,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4825.194,219.417,36.54,176314.842,21991
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,8938.837,406.477,21.29,190281.975,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,81290.314,0.000,5.48,445707.127,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,72.181,18.385,39.56,2855.230,3926
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,149.965,38.198,20.10,3014.887,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,195.207,22.236,45.26,8834.340,8779
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,388.057,44.203,22.27,8642.860,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,1103.679,76.195,38.95,42991.886,14485
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1526.000,105.350,23.32,35592.573,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,23.200,0.000,44.35,1029.000,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,21212.970,1.500,22.74,482430.420,14141979
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,1252.850,0.000,13.34,16707.149,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,28283.958,2.000,16.31,461284.846,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,322.378,215.782,36.64,11813.067,1494
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,598.964,400.913,21.25,12729.803,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36924.213,0.000,5.49,202557.695,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,40.253,18.059,39.52,1590.628,2229
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,83.782,37.587,20.13,1686.543,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,42.828,21.851,45.27,1938.659,1960
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,85.601,43.674,22.37,1914.617,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,1832.428,75.633,40.41,74054.070,24228
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,2535.442,104.649,23.46,59487.494,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,5.500,0.000,44.55,245.000,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,2816.855,215.274,36.88,103883.819,13085
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,5216.689,398.677,21.19,110526.083,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30196.463,0.000,5.43,164078.917,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.701,18.500,39.40,106.416,146
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,5.488,37.588,20.10,110.275,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,23.583,21.656,45.31,1068.618,1089
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,47.271,43.408,22.28,1053.208,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,159.221,74.928,39.53,6293.699,2125
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,224.121,105.469,22.95,5143.622,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,9.500,0.000,44.21,420.000,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,1,Carne,6519.163,1.500,22.74,148234.025,4346108
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,4,Huevo-plato,45.328,0.000,13.35,604.893,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,8,Ganado en pie,8692.216,2.000,16.32,141815.954,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,1,Carne,1712.000,212.829,36.99,63323.601,8044
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,3,Ganado en pie,3222.745,400.640,21.04,67802.853,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,4,Bovino,6,Leche,22342.283,0.000,5.44,121636.011,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,1,Carne,3.500,18.421,39.44,138.031,190
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,6,Caprino,3,Ganado en pie,7.158,37.671,20.04,143.429,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,1,Carne,13.882,22.000,45.54,632.200,631
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,12,Ovino,3,Ganado en pie,27.614,43.762,22.29,615.589,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,1,Carne,252.633,74.567,39.58,9998.435,3388
2011,1,Aguascalientes,1,Aguascalientes,4,Cosío,14,Porcino,3,Ganado en pie,356.709,105.286,23.14,8254.934,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,25.000,0.000,44.20,1105.000,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,1,Carne,5869.241,1.500,22.76,133585.578,3912831
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,4,Huevo-plato,43.684,0.000,13.35,583.236,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave     ,8,Ganado en pie,7825.662,2.000,16.31,127609.692,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,3609.209,215.475,36.84,132946.198,16750
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,6792.794,405.540,21.15,143694.939,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,41692.123,0.000,5.49,228713.130,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,19.995,17.917,39.50,789.816,1116
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,41.541,37.223,19.92,827.577,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,31.056,22.088,45.22,1404.491,1406
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,3,Ganado en pie,62.476,44.435,22.46,1403.066,0
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,1,Carne,899.521,75.249,39.88,35873.583,11954
2011,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,3,Ganado en pie,1259.432,105.357,22.63,28503.496,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,23.000,0.000,44.13,1015.000,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,1,Carne,47731.477,1.501,22.74,1085552.916,31800984
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,4,Huevo-plato,122.375,0.000,13.34,1632.410,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave     ,8,Ganado en pie,63601.968,2.000,16.31,1037094.302,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,1,Carne,679.107,215.043,36.72,24938.325,3158
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,3,Ganado en pie,1272.238,402.862,21.22,27002.482,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,6,Leche,30456.550,0.000,5.45,165969.780,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,1,Carne,17.120,17.908,39.50,676.274,956
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,3,Ganado en pie,35.301,36.925,20.27,715.489,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,1,Carne,53.352,21.839,45.50,2427.363,2443
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,3,Ganado en pie,105.942,43.365,22.45,2377.969,0
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,1,Carne,3488.592,74.761,39.31,137120.343,46663
2011,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,3,Ganado en pie,4887.481,104.740,22.71,110990.285,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,13.000,0.000,43.85,570.000,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,1,Carne,11148.984,1.500,22.74,253548.148,7432655
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,4,Huevo-plato,270.973,0.000,13.35,3616.292,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave     ,8,Ganado en pie,14865.310,2.000,16.31,242389.336,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,1,Carne,2027.186,218.306,36.16,73299.409,9286
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,3,Ganado en pie,3780.615,407.131,21.36,80744.374,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,6,Leche,41368.382,0.000,5.47,226388.960,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,1,Carne,4.477,17.980,39.66,177.577,249
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,3,Ganado en pie,9.282,37.278,19.93,185.015,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,12,Ovino,1,Carne,45.339,21.724,45.33,2055.305,2087
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,12,Ovino,3,Ganado en pie,90.535,43.380,22.49,2035.976,0
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,14,Porcino,1,Carne,407.668,74.788,38.93,15869.211,5451
2011,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,14,Porcino,3,Ganado en pie,577.027,105.857,22.69,13093.162,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,1,Abeja,7,Miel,1.250,0.000,44.00,55.000,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,4,Bovino,1,Carne,4574.452,212.518,36.53,167118.574,21525
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,4,Bovino,3,Ganado en pie,8592.813,399.202,21.02,180657.551,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,4,Bovino,6,Leche,6873.406,0.000,5.46,37537.111,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,6,Caprino,1,Carne,2.408,17.970,39.53,95.180,134
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,6,Caprino,3,Ganado en pie,4.940,36.865,20.14,99.471,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,12,Ovino,1,Carne,6.012,21.942,45.16,271.518,274
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,12,Ovino,3,Ganado en pie,11.964,43.662,22.47,268.844,0
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,14,Porcino,1,Carne,81.876,74.841,39.52,3235.581,1094
2011,1,Aguascalientes,1,Aguascalientes,8,San José de Gracia,14,Porcino,3,Ganado en pie,116.516,106.505,22.79,2655.065,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,1,Abeja,7,Miel,12.500,0.000,43.80,547.500,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,3,Ave     ,1,Carne,14178.655,1.500,22.76,322652.700,9452435
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,3,Ave     ,4,Huevo-plato,67.301,0.000,13.35,898.569,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,3,Ave     ,8,Ganado en pie,18904.870,2.000,16.31,308322.763,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,4,Bovino,1,Carne,325.632,216.223,36.20,11786.528,1506
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,4,Bovino,3,Ganado en pie,603.348,400.630,21.23,12808.432,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,4,Bovino,6,Leche,32727.965,0.000,5.52,180542.618,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,6,Caprino,1,Carne,24.559,18.259,39.57,971.688,1345
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,6,Caprino,3,Ganado en pie,50.506,37.551,19.93,1006.399,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,12,Ovino,1,Carne,19.326,21.887,45.19,873.353,883
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,12,Ovino,3,Ganado en pie,38.372,43.456,22.55,865.389,0
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,14,Porcino,1,Carne,3021.619,74.239,40.18,121397.112,40701
2011,1,Aguascalientes,1,Aguascalientes,9,Tepezalá,14,Porcino,3,Ganado en pie,4277.394,105.093,23.03,98521.033,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,1,Abeja,7,Miel,45.000,0.000,43.89,1975.000,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,3,Ave     ,1,Carne,31321.721,1.500,22.74,712122.655,20881058
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,3,Ave     ,4,Huevo-plato,457.465,0.000,13.34,6103.072,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,3,Ave     ,8,Ganado en pie,41762.116,2.000,16.30,680713.137,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,1,Carne,335.684,213.948,36.90,12387.297,1569
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,3,Ganado en pie,628.599,400.637,21.14,13289.094,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,6,Leche,18756.969,0.000,5.47,102588.867,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,6,Caprino,1,Carne,6.849,18.411,39.59,271.125,372
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,6,Caprino,3,Ganado en pie,14.158,38.058,20.10,284.506,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,12,Ovino,1,Carne,8.482,21.693,45.74,387.997,391
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,12,Ovino,3,Ganado en pie,17.040,43.579,22.69,386.556,0
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,14,Porcino,1,Carne,312.034,75.280,39.75,12403.030,4145
2011,1,Aguascalientes,1,Aguascalientes,10,El Llano,14,Porcino,3,Ganado en pie,439.950,106.140,23.21,10210.379,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,1,Abeja,7,Miel,6.500,0.000,43.85,285.000,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,3,Ave     ,1,Carne,22572.407,1.500,22.74,513383.180,15048270
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,3,Ave     ,4,Huevo-plato,2638.216,0.000,13.34,35204.092,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,3,Ave     ,8,Ganado en pie,30096.540,2.000,16.30,490702.176,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,4,Bovino,1,Carne,267.421,218.303,36.67,9805.307,1225
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,4,Bovino,3,Ganado en pie,498.048,406.570,21.43,10672.355,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,4,Bovino,6,Leche,29623.005,0.000,5.50,162794.695,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,6,Caprino,1,Carne,4.299,18.063,39.70,170.679,238
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,6,Caprino,3,Ganado en pie,8.946,37.588,20.05,179.388,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,12,Ovino,1,Carne,107.477,21.970,45.54,4893.959,4892
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,12,Ovino,3,Ganado en pie,214.577,43.863,22.36,4797.804,0
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,14,Porcino,1,Carne,422.844,74.497,39.62,16752.141,5676
2011,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,14,Porcino,3,Ganado en pie,597.158,105.208,22.71,13560.822,0
2011,2,Baja California,2,Ensenada,1,Ensenada,1,Abeja,2,Cera,1.300,0.000,28.00,36.400,0
2011,2,Baja California,2,Ensenada,1,Ensenada,1,Abeja,7,Miel,15.570,0.000,56.07,873.000,0
2011,2,Baja California,2,Ensenada,1,Ensenada,3,Ave     ,1,Carne,960.816,1.842,32.07,30813.706,521647
2011,2,Baja California,2,Ensenada,1,Ensenada,3,Ave     ,4,Huevo-plato,41.954,0.000,20.00,839.080,0
2011,2,Baja California,2,Ensenada,1,Ensenada,3,Ave     ,8,Ganado en pie,1197.472,2.296,19.28,23092.338,0
2011,2,Baja California,2,Ensenada,1,Ensenada,4,Bovino,1,Carne,2344.035,150.403,31.90,74782.824,15585
2011,2,Baja California,2,Ensenada,1,Ensenada,4,Bovino,3,Ganado en pie,4432.042,284.379,17.82,78978.245,0
2011,2,Baja California,2,Ensenada,1,Ensenada,4,Bovino,6,Leche,22530.830,0.000,5.13,115517.725,0
2011,2,Baja California,2,Ensenada,1,Ensenada,6,Caprino,1,Carne,77.183,15.016,58.77,4535.943,5140
2011,2,Baja California,2,Ensenada,1,Ensenada,6,Caprino,3,Ganado en pie,155.869,30.324,27.96,4358.186,0
2011,2,Baja California,2,Ensenada,1,Ensenada,12,Ovino,1,Carne,39.907,14.731,49.37,1970.012,2709
2011,2,Baja California,2,Ensenada,1,Ensenada,12,Ovino,3,Ganado en pie,78.396,28.939,25.01,1960.402,0
2011,2,Baja California,2,Ensenada,1,Ensenada,14,Porcino,1,Carne,180.939,75.423,36.79,6657.068,2399
2011,2,Baja California,2,Ensenada,1,Ensenada,14,Porcino,3,Ganado en pie,249.289,103.914,21.06,5249.945,0
2011,2,Baja California,2,Ensenada,3,Tecate,3,Ave     ,4,Huevo-plato,797.059,0.000,16.78,13375.056,0
2011,2,Baja California,2,Ensenada,3,Tecate,4,Bovino,1,Carne,542.408,212.459,24.99,13556.894,2553
2011,2,Baja California,2,Ensenada,3,Tecate,4,Bovino,3,Ganado en pie,994.285,389.458,14.68,14598.536,0
2011,2,Baja California,2,Ensenada,3,Tecate,4,Bovino,6,Leche,52644.000,0.000,4.75,249791.630,0
2011,2,Baja California,2,Ensenada,3,Tecate,6,Caprino,1,Carne,16.228,17.468,30.76,499.127,929
2011,2,Baja California,2,Ensenada,3,Tecate,6,Caprino,3,Ganado en pie,31.379,33.777,15.05,472.347,0
2011,2,Baja California,2,Ensenada,3,Tecate,12,Ovino,1,Carne,29.387,18.253,30.26,889.103,1610
2011,2,Baja California,2,Ensenada,3,Tecate,12,Ovino,3,Ganado en pie,55.197,34.284,14.75,813.979,0
2011,2,Baja California,2,Ensenada,3,Tecate,14,Porcino,1,Carne,108.023,75.912,20.05,2166.143,1423
2011,2,Baja California,2,Ensenada,3,Tecate,14,Porcino,3,Ganado en pie,141.428,99.387,12.65,1789.605,0
2011,2,Baja California,2,Ensenada,4,Tijuana,1,Abeja,7,Miel,0.828,0.000,50.00,41.400,0
2011,2,Baja California,2,Ensenada,4,Tijuana,3,Ave     ,1,Carne,17.270,1.750,29.00,500.826,9869
2011,2,Baja California,2,Ensenada,4,Tijuana,3,Ave     ,4,Huevo-plato,2163.996,0.000,12.84,27779.598,0
2011,2,Baja California,2,Ensenada,4,Tijuana,3,Ave     ,8,Ganado en pie,21.712,2.200,17.00,369.087,0
2011,2,Baja California,2,Ensenada,4,Tijuana,4,Bovino,1,Carne,1174.588,270.767,25.68,30160.174,4338
2011,2,Baja California,2,Ensenada,4,Tijuana,4,Bovino,3,Ganado en pie,2151.023,495.856,14.54,31273.285,0
