Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,80.097,0.000,40.00,3203.880,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,72687.065,1.500,25.51,1854116.513,48458045
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3649.597,0.000,19.38,70722.020,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,96916.090,2.000,19.15,1855871.848,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4955.021,208.870,39.51,195746.222,23723
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,9583.142,403.960,21.90,209889.039,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,81961.968,0.000,5.48,448895.348,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,61.163,19.460,44.41,2716.201,3143
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,120.391,38.305,21.27,2560.682,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,191.572,22.198,52.43,10043.323,8630
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,371.345,43.030,24.03,8923.391,0
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,613.659,75.686,40.50,24850.419,8108
2012,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,845.243,104.248,22.50,19019.901,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,28.486,0.000,40.00,1139.440,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,28165.916,1.500,25.51,718612.190,18777278
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,647.638,0.000,19.49,12622.696,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,37575.531,2.001,19.15,719669.836,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,267.651,210.417,39.77,10645.376,1272
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,547.431,430.370,21.37,11698.164,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,33259.104,0.000,5.47,181860.713,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,35.072,19.228,45.34,1590.022,1824
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,69.810,38.273,23.77,1659.262,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,31.343,21.827,52.21,1636.532,1436
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,60.554,42.168,25.13,1521.977,0
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,3685.056,75.248,39.67,146171.618,48972
2012,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,5045.521,103.029,22.43,113152.679,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,11.319,0.000,40.00,452.760,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,3088.814,211.172,39.70,122624.838,14627
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,5939.156,406.041,21.58,128157.751,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30473.881,0.000,5.48,166904.086,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.432,19.302,44.65,108.578,126
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,4.748,37.679,20.99,99.640,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,14.852,22.267,52.29,776.535,667
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,28.682,43.002,25.46,730.378,0
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,35.361,77.546,39.47,1395.643,456
2012,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,47.974,105.206,21.52,1032.391,0
2012,1,Aguascalientes,1,Aguascalientes,4,Cosío,1,Abeja,7,Miel,16.170,0.000,40.00,646.800,0
2012,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,1,Carne,12735.022,1.500,25.55,325395.828,8490014
2012,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,4,Huevo-plato,42.776,0.000,19.01,813.128,0
2012,1,Aguascalientes,1,Aguascalientes,4,Cosío,3,Ave     ,8,Ganado en pie,16980.028,2.000,19.17,325563.755,0
