Nomestado,Anio,Volumen
Aguascalientes,2006.0,430.438
Aguascalientes,2007.0,197.365
Aguascalientes,2008.0,331.31500000000005
Aguascalientes,2009.0,396.40000000000003
Aguascalientes,2010.0,270.0
Aguascalientes,2011.0,217.45
Aguascalientes,2012.0,326.488
Aguascalientes,2013.0,371.37899999999996
Aguascalientes,2014.0,551.495
Aguascalientes,2015.0,616.0530000000001
Aguascalientes,2016.0,663.71
Aguascalientes,2017.0,652.7459999999999
Baja California,2006.0,110.33800000000001
Baja California,2007.0,97.17199999999998
Baja California,2008.0,152.786
Baja California,2009.0,143.422
Baja California,2010.0,84.602
Baja California,2011.0,90.571
Baja California,2012.0,80.19600000000001
Baja California,2013.0,89.654
Baja California,2014.0,83.731
Baja California,2015.0,87.256
Baja California,2016.0,88.506
Baja California,2017.0,81.169
Baja California Sur,2006.0,213.75
Baja California Sur,2007.0,312.15999999999997
Baja California Sur,2008.0,300.904
Baja California Sur,2009.0,271.254
Baja California Sur,2010.0,278.507
Baja California Sur,2011.0,265.858
Baja California Sur,2012.0,227.566
Baja California Sur,2013.0,280.175
Baja California Sur,2014.0,270.06100000000004
Baja California Sur,2015.0,256.437
Baja California Sur,2016.0,224.878
Baja California Sur,2017.0,202.011
Campeche,2006.0,6015.92
Campeche,2007.0,8205.63
Campeche,2008.0,8816.567
Campeche,2009.0,7005.7919999999995
Campeche,2010.0,5434.680000000001
Campeche,2011.0,8344.475999999999
Campeche,2012.0,7715.634
Campeche,2013.0,5715.4079999999985
Campeche,2014.0,7083.125
Campeche,2015.0,7735.817999999998
Campeche,2016.0,5834.451
Campeche,2017.0,3767.484
Chiapas,2006.0,3181.7109999999993
Chiapas,2007.0,3486.5340000000006
Chiapas,2008.0,3779.8549999999987
Chiapas,2009.0,4269.7660000000005
Chiapas,2010.0,4574.08
Chiapas,2011.0,4707.789
Chiapas,2012.0,4945.337000000001
Chiapas,2013.0,5101.154000000001
Chiapas,2014.0,5116.848
Chiapas,2015.0,5143.525
Chiapas,2016.0,5213.385
Chiapas,2017.0,5324.147999999999
Chihuahua,2006.0,646.367
Chihuahua,2007.0,517.615
Chihuahua,2008.0,569.6149999999998
Chihuahua,2009.0,580.702
Chihuahua,2010.0,611.939
Chihuahua,2011.0,238.00400000000008
Chihuahua,2012.0,378.631
Chihuahua,2013.0,688.259
Chihuahua,2014.0,680.3779999999999
Chihuahua,2015.0,583.0040000000001
Chihuahua,2016.0,709.0949999999999
Chihuahua,2017.0,436.91499999999996
Ciudad de México / D.F.,2017.0,100.65
Coahuila,2006.0,234.282
Coahuila,2007.0,234.76400000000004
Coahuila,2008.0,233.572
Coahuila,2009.0,245.01999999999998
Coahuila,2010.0,279.623
Coahuila,2011.0,288.542
Coahuila,2012.0,256.776
Coahuila,2013.0,221.37099999999998
Coahuila,2014.0,232.498
Coahuila,2015.0,265.544
Coahuila,2016.0,235.96599999999998
Coahuila,2017.0,191.701
Colima,2006.0,373.84400000000005
Colima,2007.0,379.572
Colima,2008.0,378.876
Colima,2009.0,362.9680000000001
Colima,2010.0,299.36100000000005
Colima,2011.0,331.576
Colima,2012.0,401.344
Colima,2013.0,432.43399999999997
Colima,2014.0,445.855
Colima,2015.0,407.7660000000001
Colima,2016.0,444.67499999999995
Colima,2017.0,462.674
Distrito Federal,2006.0,80.9
Distrito Federal,2007.0,92.44
Distrito Federal,2008.0,84.475
Distrito Federal,2009.0,91.12
Distrito Federal,2010.0,91.15
Distrito Federal,2011.0,79.17
Distrito Federal,2012.0,87.15
Distrito Federal,2013.0,92.65
Distrito Federal,2014.0,77.2
